DateTime	Temp_out	Temp_hi	Temp_lo	Hum_Out	Dew_Pt	Wind_Speed	Wind_Dir	Wind_Run	Wind_Speed_hi	Wind_Dir_hi	Wind_Chill	Heat_Index	THW_Index	Bar  	Rain	Rain_Rate	Heat_D-D 	Cool_D-D 	Temp_in	Hum_in	Dew_in	Heat_in	EMC_in	Air_in_Density	Wind_Samp	Wind_Tx 	ISS R_ecept	Arc_Int
30/07/19 18:00	20.3	22.1	20.3	73	15.3	0.4	NE	0.27	2.7	NW	20.3	20.7	20.7	1006.9	0	0	0	0.014	24.5	62	16.7	25	11.23	1.1568	235	1	100	10
30/07/19 18:10	19.6	20.3	19.6	76	15.3	0.4	NE	0.27	2.7	WSW	19.6	20.1	20.1	1006.9	0	0	0	0.009	24.4	62	16.6	24.9	11.23	1.1574	234	1	100	10
30/07/19 18:20	19.3	19.6	19.3	77	15.2	0.4	NE	0.27	2.7	N	19.3	19.8	19.8	1006.9	0	0	0	0.007	24.4	62	16.6	24.9	11.23	1.1574	234	1	100	10
30/07/19 18:30	19.1	19.3	19.1	79	15.4	0.9	N	0.54	2.7	N	19.1	19.6	19.6	1007	0	0	0	0.005	24.3	62	16.6	24.8	11.23	1.1578	234	1	100	10
30/07/19 18:40	18.4	19.1	18.4	83	15.5	0.4	NNE	0.27	2.2	NW	18.4	18.9	18.9	1007.1	0	0	0	0.001	24.3	62	16.6	24.8	11.23	1.1579	234	1	100	10
30/07/19 18:50	18.1	18.4	18.1	85	15.5	0.4	NNE	0.27	1.8	NW	18.1	18.5	18.5	1007.1	0.2	0	0.002	0	24.3	63	16.8	24.9	11.43	1.1576	234	1	100	10
30/07/19 19:00	17.8	18.1	17.8	88	15.8	0.4	N	0.27	2.2	NW	17.8	18.2	18.2	1007.3	0.4	2.4	0.004	0	24.4	63	16.9	24.9	11.43	1.1575	233	1	100	10
30/07/19 19:10	17.6	17.8	17.6	89	15.8	0.4	NNE	0.27	1.3	WSW	17.6	18	18	1007.3	0	0.8	0.005	0	24.4	63	16.9	25	11.43	1.1572	235	1	100	10
30/07/19 19:20	17.6	17.6	17.6	90	15.9	0.4	NNE	0.27	1.3	N	17.6	18	18	1007.4	0	0	0.005	0	24.5	63	17	25.1	11.43	1.157	234	1	100	10
30/07/19 19:30	17.6	17.6	17.6	89	15.8	0.4	NNE	0.27	2.2	N	17.6	18	18	1007.3	0	0	0.005	0	24.5	63	17	25.1	11.43	1.1569	234	1	100	10
30/07/19 19:40	17.7	17.7	17.6	89	15.9	0.9	N	0.54	2.7	SSW	17.7	18.2	18.2	1007.5	0	0	0.004	0	24.5	63	17	25.1	11.43	1.1571	234	1	100	10
30/07/19 19:50	17.7	17.8	17.7	88	15.7	0.4	N	0.27	2.2	NW	17.7	18.1	18.1	1007.5	0	0	0.004	0	24.5	64	17.2	25.1	11.63	1.1567	234	1	100	10
30/07/19 20:00	17.7	17.7	17.7	88	15.7	0.4	NNE	0.27	4	NNE	17.7	18.1	18.1	1007.5	0	0	0.005	0	24.5	63	17	25.1	11.43	1.1571	234	1	100	10
30/07/19 20:10	17.6	17.7	17.6	87	15.4	0.4	N	0.27	4	N	17.6	17.9	17.9	1007.6	0	0	0.005	0	24.6	63	17	25.1	11.43	1.1569	233	1	100	10
30/07/19 20:20	17.4	17.6	17.4	87	15.3	0.4	NNE	0.27	2.7	WSW	17.4	17.8	17.8	1007.7	0	0	0.006	0	24.6	63	17	25.1	11.43	1.157	235	1	100	10
30/07/19 20:30	17.4	17.4	17.4	87	15.2	0.4	NE	0.27	1.8	SSE	17.4	17.7	17.7	1007.8	0	0	0.007	0	24.6	63	17	25.1	11.43	1.1572	234	1	100	10
30/07/19 20:40	17.4	17.4	17.4	87	15.3	0.4	N	0.27	2.2	ENE	17.4	17.8	17.8	1007.9	0	0	0.006	0	24.6	63	17.1	25.2	11.42	1.157	234	1	100	10
30/07/19 20:50	17.5	17.5	17.4	87	15.3	0.4	NNE	0.27	1.8	W	17.5	17.8	17.8	1008	0	0	0.006	0	24.6	63	17.1	25.2	11.42	1.1571	234	1	100	10
30/07/19 21:00	17.5	17.5	17.4	87	15.3	0.4	WSW	0.27	1.8	N	17.5	17.8	17.8	1008.1	0	0	0.006	0	24.7	63	17.2	25.2	11.42	1.157	234	1	100	10
30/07/19 21:10	17.5	17.5	17.5	86	15.1	0.4	N	0.27	2.2	W	17.5	17.8	17.8	1008.2	0	0	0.006	0	24.7	62	16.9	25.2	11.22	1.1574	234	1	100	10
30/07/19 21:20	17.5	17.6	17.5	86	15.1	0.4	NNE	0.27	2.2	SE	17.5	17.8	17.8	1008.3	0	0	0.006	0	24.1	62	16.3	24.6	11.24	1.1608	234	1	100	10
